MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,66.5,0.05,8.0,4.0,0.0,78.21870676624046,481.6333765182258
9.58,5.0,1.4,0.995,52.5,3,4.6,0.15,0.15,7,70.0,0.05,8.0,4.0,0.0,78.19907597590719,481.5124995027034
16.349546906506294,9.705207414654575,2.353298368926947,0.4193993953668302,64.83919163398765,3,7.97501208961149,0.0543042271740043,0.2298372169349944,7,86.37133198053635,0.09,4.0,0.0,0.0,108.5074449214225,1887.8322345219804
2.289959040343569,9.71918782646889,1.53396941071295,0.8038823766620522,97.43175488491956,6,7.523431300040376,0.0977401202780896,0.1375224306380573,13,42.42457960318114,0.07,4.0,0.0,0.0,15.6563200982883,115.73719786168228
18.7880861257071,6.982463477677499,1.843471298654356,1.023591294666746,61.3492137956107,3,8.438525649869144,0.1072426195071506,0.0772533570521197,13,20.044711406019523,0.09,4.0,0.0,0.0,66.15140244853617,706.255250294459
0.3330112931878689,5.141785872196447,1.092507955430401,1.4062807009824565,50.44457845341053,1,8.79839419068529,0.286573208773358,0.0218903949687302,4,65.99934666997032,0.09,4.0,0.2,0.0,0.5325063111350806,1.9967507130421205
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7.0,3.0,0.0,73.50122396428608,452.585374262676
5.641684190232144,2.511637441147521,1.3570803430273797,0.020098096539699,37.90114731874785,0,5.078668749595671,0.1742291958697453,0.0742537470560916,11,126.77366378985734,0.03,4.0,0.0,0.0,39.43054049859602,228.1359475308479
0.6606098600130402,6.919466166923258,0.1080966048659791,1.2389265101370348,45.5463676798594,5,8.647545101518133,0.2912163920665602,0.2000616751231761,12,101.83845486753413,0.11,4.6,0.8,0.0,4.565974927800395,0.1676129240439238
13.845834724385965,5.259512739551472,0.520498689945193,1.5051404211979469,48.89668051435019,4,6.0997500045188175,0.0579943370076919,0.0880667228752822,2,108.37235918161012,0.01,428.4,227.2,197.2,2255.58654193986,1919.7675607078208
5.9915450932533165,8.012978210707194,2.416549645869306,1.546090527366394,90.6035576617792,4,0.6488537785198131,0.2442371300414269,0.2526785435602893,1,72.30946259628936,0.07,985.75,413.25,568.75,1961.4277773417923,35984.34795832679
1.1596626441399105,7.240228187282849,0.1276106002549803,1.671728076170702,24.34176953433048,1,6.722411111345557,0.2468577460217127,0.0327126439186856,5,79.36095981395286,0.09,75.2,71.4,0.0,60.16979265892396,3.0782358419821074
9.58,5.0,1.4,0.94525,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4.0,0.0,0.0,66.45316294692967,409.1867863028841
0.0204475939659499,0.8272312455165098,0.1870596364063954,1.874339907294364,32.54697517378512,1,7.194511358578056,0.0614662964043691,0.1304838879490486,10,63.47890745555297,0.11,3.8,0.0,0.0,0.0,0.0
13.054567365576691,1.3134422597826767,1.415533350521763,1.7333153427930208,55.258118217273946,3,8.891911882552531,0.1909056568486753,0.275875684216075,5,17.16789216694895,0.11,3.8,0.0,0.0,2.214616564279161,13.940829912379195
11.25317473327106,6.447977315134244,0.345453828433119,0.9522659232810736,49.822991770080286,6,6.99361133284515,0.1742150970859355,0.2471692666505266,13,14.780932134708484,0.01,3.8,0.0,0.0,59.841973357926406,22.435502403101484
2.2238715607270194,9.731832386679026,2.065758440099279,1.148439938947632,70.85049444472753,4,5.106166602040791,0.2312540994548831,0.0376438475916105,4,131.6404442154673,0.11,33.2,27.6,1.6,40.20055195007505,538.9406729569926
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10.0,6.0,0.0,82.88052902973286,510.3386478058708
